book,author,year,publisher
"The Bride\'s Rescuer","Charlotte Douglas","2002","Harlequin"
"Todos Los Nombres","Jose Saramago","2002","Suma de Letras"
"Fooling With Words: A Celebration of Poets and Their Craft","Bill D. Moyers","2000","Perennial"
"Comes the Blind Fury","John Saul","1990","Dell"
"The Gift of Asher Lev","Chaim Potok","1991","Ballantine Books"
"The Indian in the Cupboard","Brock Cole","1920","Doubleday Books"
"Live from Death Row","Mumia Abu-Jamal","1996","Perennial"
"Quietus","Vivian Schilling","2002","Hannover House USA"
"Perma Red","Debra Magpie Earling","2002","Bluehen Books"
"To the Lighthouse","Virginia Woolf","1981","Harcourt"
"The Blue Bottle Club","Penelope J. Stokes","2000","WestBow Press"
"The Passions of Emma","Penn Williamson","1998","Warner Vision"
"The Fall of Hyperion","Dan Simmons","1991","Bantam"
"An Alien Light","Nancy Kress","1989","Harper Mass Market Paperbacks (Mm)"
"The Sleep-Over Artist: Fiction","Thomas Beller","2000","W.W. Norton &amp; Company"
"Kiss Mommy Goodbye","Joy Fielding","1982","Signet Book"
"Crooked River Burning","Mark Winegardner","2001","Harcourt"
"The Dirty Duck","Martha Grimes","1990","Dell Publishing Company"
"Die Jury. Roman.","John Grisham","1992","Heyne"
"Search the Shadows","Barbara Michaels","1997","HarperCollins Publishers"
"The Great Divide","Studs Terkel","1989","Harper Mass Market Paperbacks (Mm)"
"Raising the Stones","Sheri S. Tepper","1990","Bantam Dell Pub Group"
"The Basque History of the World","Mark Kurlansky","2001","Penguin Books"
"Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time","Dava Sobel","1995","Walker &amp; Company"
"Tanz mit dem Engel.","Ake Edwardson","2001","Ullstein TB-Vlg"
"Agatha Christie: An Autobiography","Agatha Christie","1978","Ballantine Books"
"Oral History","Lee Smith","1996","Ballantine Books"
"Mexican Pet","Jan Brunvand","1988","W. W. Norton &amp; Company"
"Incident at Badamya","Dorothy Gilman","1995","Fawcett Books"
"The Wicked Day","Mary Stewart","1983","Harpercollins"
"Rum Punch","Elmore Leonard","2002","HarperTorch"
"Not Without My Daughter","Betty Mahmoody","1987","St Martins Pr"
"Death Is of Vital Importance: On Life, Death, and Life After Death","Elisabeth Kubler-Ross","1995","Midpoint Trade Books Inc"
"Stealing Faces","Michael Prescott","1999","Signet a division of Penguin Books"
"Immediate Action","Andy McNab","1996","Corgi Adult"
"The Girl Who Heard Dragons","Anne McCaffrey","1994","St Martins Pr"
"Ham on Rye","Charles Bukowski","1982","Ecco"
"Line of Vision","David Ellis","2001","Putnam Publishing Group"
"The Good War: An Oral History of World War Two","Studs Terkel","1984","Random House Inc"
"Developing Intuition: Practical Guidance for Daily Life","Shakti Gawain","2001","New World Library"
"Poodles: A Book of Postcards","Andrews McMeel Publishing","1997","Andrews McMeel Pub"
"Tithe","Holly Black","2003","Simon &amp; Schuster (Trade Division)"
"On Rue Tatin: Living and Cooking in a French Town","Susan Herrmann Loomis","2002","Broadway Books"
"A Woman of Substance","Barbara Taylor Bradford","2004","HarperTorch"
"The Stand: Complete and Uncut","Stephen King","1991","Signet Book"
"N or M?","Agatha Christie","1984","Berkley Publishing Group"
"Tell Me No Secrets","Joy Fielding","1993","Harpercollins"
"Son of Fletch","Gregory McDonald","1993","Putnam Pub Group"
"Breaking Clean","Judy Blunt","2003","Vintage Books USA"
"Kabale Und Liebe","Schiller","0","Philipp Reclam, Jun Verlag GmbH"
"Les Contes Du Chat Perche","Marcel Ayme","0","Gallimard French"
"When the Wind Blows","James Patterson","1998","Replica Books"
"Decider","Dick Francis","1995","Jove Books"
"Pyramids","Terry Pratchett","1990","New Amer Library"
"The Price of a Child","Lorene Cary","1995","Random House Inc"
"Why You Act the Way You Do","Tim Dr. Lahaye","1988","Tyndale House Publishers"
"The Big Picture","William Goldman","1995","Applause Books"
"Looking at the Moon","Kit Pearson","1996","Penguin USA"
"The Seeing Stone","Kevin Crossley-Holland","2002","Arthur A. Levine Books"
"""I Remember Laura"": Laura Ingalls Wilder","Stephen W. Hines","1994","Thomas Nelson Inc"
"Shelley Also Known As Shirley","Shelley Winters","1981","Ballantine Books"
"Manchild in the Promised Land","Claude Brown","1999","Touchstone"
"Lake Wobegon Days","Garrison Keillor","1990","Penguin/Puffin Mass Market (Mm)"
"A Kitchen Witch\'s Cookbook","Patricia Telesco","1998","Llewellyn Publications"
"The Book of Guys: Stories","Garrison Keillor","1994","Penguin Books"
"The Crime of the Century: Richard Speck and the Murder of Eight Nurses","Dennis L. Breo","1993","Bantam"
"Hanging Up","Delia Ephron","1996","Ballantine Books"
"Pet Sematary","Stephen King","1984","Signet Book"
"Autumn Lover","Elizabeth Lowell","1996","Avon"
"Only Forever","Jim Miller","1995","Mira"
"The Best School Year Ever","Barbara Robinson","1997","HarperTrophy"
"The Pillsbury Cookbook","Pillsbury Company","1991","Main Street Books"
"We Wish to Inform You That Tomorrow We Will be Killed With Our Families: Stories from Rwanda","Philip Gourevitch","1999","Picador USA"
"Dragonlover\'s Guide to Pern","Jody Lynn Nye","1997","Del Rey Books"
"Early Autumn","Robert B. Parker","1992","Dell Publishing Company"
"Wonderful Life: The Burgess Shale and the Nature of History","Stephen Jay Gould","1990","W. W. Norton &amp; Company"
"The Sky\'s the Limit","Dr. Wayne Dyer","1982","Pocket"
"Rabbit at Rest","John Updike","1990","Alfred A. Knopf"
"The Chronicles of Chrestomanci, Volume 2: The Magicians of Caprona / Witch Week","Diana Wynne Jones","2001","HarperTrophy"
"Expanded Universe","Robert Heinlein","1981","Ace Books"
"Wizard of Earthsea","Ursula K. Le Guin","0","Bantam Doubleday Dell"
"Dark","James Herbert","0","Trafalgar Square"
"Good in Bed","Jennifer Weiner","2002","Washington Square Press"
"Black for Remembrance","Carlene Thompson","1992","Harper Mass Market Paperbacks (Mm)"
"The Girl Who Heard Dragons","Anne McCaffrey","1999","Sagebrush Bound"
"Her Highness, My Wife","Victoria Alexander","2002","Avon"
"The Cat Who Talked Turkey","Lilian Jackson Braun","2004","Putnam Publishing Group"
"Calculating God","Robert J. Sawyer","2001","Tor Science Fiction"
"The Tightrope Walker","Dorothy Gilman","1997","Fawcett Books"
"The Road Ahead","Bill Gates","1995","Penguin USA"
"The Ways of My Grandmothers","Beverly Hungry Wolf","1998","Perennial Currents"
"Angel in Scarlet","Jennifer Wilde","1986","Harper Mass Market Paperbacks (Mm)"
"A Week in the Zone","Barry Sears","2000","ReganBooks"
"White Shark","Peter Benchley","1994","Random House Inc"
"No Greater Love","Julie Ellis","1991","Zebra Books"
"Manchild in the Promised Land","Claude Brown","1982","Signet Book"
"Death of an Expert Witness","P. D. James","1982","Warner Books"
"Scandalous Again","Christina Dodd","2003","Avon"
"The Hook","Donald E. Westlake","2001","Warner Books"
"Candyfreak: A Journey Through the Chocolate Underbelly of America","Steve Almond","2004","Algonquin Books of Chapel Hill"
"Housekeeping","Marilynn Robinson","1982","Bantam Books"
"Children\'s Hospital","Peggy Anderson","1985","Harpercollins"
"Le Meilleur Des Mondes","Aldous Huxley","1998","Pocket"
"A Tale of Time City","Diana Wynne Jones","2002","HarperTrophy"
"King Rat","James Clavell","1993","Dell Publishing Company"
"Ringworld Engineers","Larry Niven","1990","Del Rey Books"
"Beauty Bites Beast: Awakening the Warrior Within Women and Girls","Ellen Snortland","1998","Trilogy Books"
"The Cider House Rules","John Irving","1999","HarperAudio"
"The Lost World: Jurassic Park","David Koepp","1997","Chronicle Books Llc"
"Deadly Decisions","Kathy Reichs","2000","Scribner"
"Salvation on Sand Mountain: Snake Handling and Redemption in Southern Appalachia","Dennis Covington","1996","Penguin Books"
"Abuse of Power","Nancy Taylor Rosenberg","1997","Penguin USA"
"Corinthian","Georgette Heyer","2000","Harlequin"
"Married for a Month","Susan Mallery","2001","Pocket Books"
"Rough Justice","Lisa Scottoline","1997","HarperCollins Publishers"
"Sounder","William Armstrong","1973","Harpercollins Publisher"
"The Last to Die","Beverly Barton","2004","Zebra Books"
"Fall from Grace","Clyde Phillips","1999","Pocket"
"Encounters with the Archdruid","John McPhee","1971","Farrar Straus &amp; Giroux"
"Up a Road Slowly","Irene Hunt","1993","Silver Burdett Pr"
"Walden Or, Life in the Woods and the Duty of Civil Disobedience","Henry David Thoreau","1973","Perennial"
"I Married a Communist","Philip Roth","1998","Audio Literature"
"Faery Magic","Mary Jo Putney","1998","Zebra Books"
"Good Intentions","Agnes Desarthe","2002","Flamingo"
"Little Men","Louisa May Alcott","1994","Little, Brown"
"Black Sand","William J. Caunitz","1989","Crown Publishers"
"Annapolis","William Martin","1996","Warner Books"
"Millroy the Magician","Paul Theroux","1996","Ballantine Books"
"Cinder Edna","Ellen Jackson","1994","HarperCollins"
"Deep Lie","Stuart Woods","1986","Bookthrift Co"
"A Maiden\'s Grave","Jeffery Deaver","2001","Signet Book"
"Der fremde Tibeter.","Eliot Pattison","2002","Aufbau Tb"
"Talk: Npr\'s Susan Stamberg Considers All Things","Susan Stamberg","1994","Perigee Books"
"I\'m the One That I Want","Margaret Cho","2002","Ballantine Books"
"The Millionaire Next Door","Thomas J. Stanley","1998","Pocket"
"Tekwar","William Shatner","1989","Putnam Pub Group"
"Harriet the Spy","Louise Fitzhugh","1996","HarperTrophy"
"Katastrophe","Randall Boyll","2001","Avon Books"
"More Tales of the City","Armistead Maupin","1989","Harpercollins Publisher"
"The Ginger Man","J. P. Donleavy","2001","Grove Press"
"Here and Now","Constance O\'Day-Flannery","2001","Avon"
"Life Among the Savages","Shirley Jackson","1990","Academy Chicago Pub"
"Making Minty Malone","Isabel Wolff","2000","Onyx Books"
"The Trespassers","Zilpha Keatley Snyder","1995","Delacorte Press"
"Non Campus Mentis: World History According to College Students","Anders Henriksson","2001","Workman Publishing"
"The New Joy of Sex","Alex Comfort","1991","Crown Publishing Group (NY)"
"Les Liasions Dangereuses","Pierre Ambroise Francois Choderl Laclos","1989","Signet Book"
"Five-Finger Discount: A Crooked Family History","Helene Stapinski","2001","Random House Trade"
"One on One","Tabitha King","1993","Penguin USA"
"Buckhorn Brothers: Casey","Lori Foster","2002","Harlequin"
"The Womanly Art of Breastfeeding","Judy Torgus","1997","La Leche League International"
"Happy Are Those Who Mourn","Andrew M. Greeley","1995","Jove Books"
"Dave Barry in Cyberspace","Dave Barry","1996","Random House Inc"
"Die Frau mit dem Muttermal.","Hakan Nesser","1998","btb"
"Le Divorce","Diane Johnson","0","Trafalgar Square"
"How to Lie With Maps","Mark Monmonier","1991","Univ of Chicago Pr"
"El Codigo Da Vinci / The Da Vinci Code","Dan Brown","2003","Ediciones Urano"
"Freak the Mighty","Rodman Philbrick","2001","Scholastic Signature"
"Gunmans Rhapsody","Robert B. Parker","2002","Berkley Publishing Group"
"Moominsummer Madness","Tove Jansson","1992","Farrar, Straus and Giroux (BYR)"
"Sin Destino","Imre Kertesz","2001","El Acantilado"
"Cuba Diaries: An American Housewife in Havana","Isadora Tattlin","2003","Broadway Books"
"Small leather journal with strap-myra series","Anatolian Treasures","1999","Anatolian Treasures"
"The Lexus and the Olive Tree","Thomas L. Friedman","1999","Farrar Straus Giroux"
"Tom, Dick, and Debbie Harry","Jessica Adams","2002","Thomas Dunne Books"
"The Trespassers","Robert Roper","1992","Houghton Mifflin"
"Dead Eyes","Stuart Woods","0","Harper Mass Market Paperbacks"
"Welcome to the Funny Farm: The All-True Misadventures of a Woman on the Edge","Karen Scalf Linamen","2001","Revell"
"Isle of Dogs","Patricia Daniels Cornwell","2001","Putnam Pub Group"
"Death and the Dancing Footman","Ngaio Marsh","1983","Amereon Limited"
"Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry","J. K. Rowling","2001","Scholastic"
"The Toughest Indian in the World","Sherman Alexie","2000","Pub Group West"
"Fortress in the Eye of Time","C. J. Cherryh","1996","Eos"
"Charms for the Easy Life","Kaye Gibbons","1993","Putnam Publishing Group"
"The Road Home","Eliza Thomas","1998","Bantam Dell Pub Group"
"Stalking the Nightmare","Harlan Ellison","1984","Berkley Pub Group"
"McNallys Trial","Lawrence Sanders","1999","Putnam Pub Group"
"See Jane Date","Melissa Senate","2003","Red Dress Ink"
"Die leichten Schritte des Wahnsinns.","Polina Daschkowa","2002","Aufbau Tb"
"The Year My Life Went Down the Loo","Katie Maxwell","2003","Dorchester Publishing Company"
"Sixpence House: Lost in a Town of Books","Paul Collins","2003","Bloomsbury Publishing PLC"
"Don\'t Get Me Started","Kate Clinton","1998","Ballantine Books"
"The Client","John Grisham","1994","Dell Publishing Company"
"New Attitude","Charlotte Hughes","2001","Mira"
"The Firm","John Grisham","1991","Random House Audio"
"Distant Shores","Kristin Hannah","2002","Brilliance Audio"
"Uses for Mooses and Other Popular Pets","Mike Thaler","1994","Troll Communications"
"Christmas Cookies","Katherine M. Eakin","1986","Little Brown &amp; Co"
"Living With Dickens","Tom Bianchi","1994","St. Martin\'s Press"
"Ride a Pale Horse","Helen MacInnes","1985","Fawcett Books"
"How Good Do We Have to Be?: A New Understanding of Guilt and Forgiveness","Harold S. Kushner","1996","Little Brown &amp; Co"
"To Sir, With Love","Edward Ricardo Braithwaite","1995","Jove Books"
"Tolkien: A Biography","Humphrey Carpenter","1977","Houghton Mifflin"
"Die Klavierspielerin. Roman.","Elfriede Jelinek","1997","Rowohlt Tb."
"Human Croquet","Kate Atkinson","1998","Picador USA"
"The Honey Thief","Elizabeth Graver","1999","Hyperion"
"Dry White Season","Andre Brink","0","Stoddart+publishing"
"Welcome to the Ark","Stephanie S. Tolan","2000","HarperTempest"
"Mirror Image","Danielle Steel","1999","Dell Publishing Company"
"No One Noticed the Cat","Anne McCaffrey","1996","Roc"
"L\'Insoutenable Legerete de l\'Etre","Milan Kundera","1989","Gallimard French"
"El Diaro De Bridget Jones","Helen Fielding","1996","Lumen Espana"
"Mystic River","Dennis Lehane","2001","HarperAudio"
"Fateless","Imre Kertesz","1996","Hydra Books"
"A Long Fatal Love Chase","Louisa May Alcott","1995","Random House Inc"
"Twelve Red Herrings","Jeffrey Archer","1994","Harpercollins"
"Girlfriend 44","Mark Barrowcliffe","2002","St. Martin\'s Griffin"
"Just Another Kid","Torey L. Hayden","1988","Putnam Pub Group"
"Master of Ecstasy","Nina Bangs","2004","Love Spell"
"Black Lion\'s Bride","Tina St. John","2002","Ivy Books"
"That Was Then, This Is Now","S. E. Hinton","1999","Sagebrush Bound"
"Depth Takes a Holiday: Essays from Lesser Los Angeles","Sandra Tsing Loh","1997","Riverhead Books"
"The School Story","Brian Selznick","2002","Aladdin Publishing Company"
"A Trip to the Beach: Living on Island Time in the Caribbean","Melinda Blanchard","2000","Clarkson N Potter Publishers"
"Memory and Dream","Charles De Lint","1995","Tor Books (Mm)"
"Until Proven Guilty","Christine McGuire","1995","Pocket"
"Educating Esme: Diary of a Teacher\'s First Year","Esme Raji Codell","1999","Algonquin Books of Chapel Hill"
"Fought by Boys: New and Selected Poems from War","Donald W. Baker","2002","Xlibris Corporation"
"Rebellious Desire","Julie Garwood","1991","Pocket"
"She Who Remembers","Linda Lay Shuler","1989","Signet Book"
"Time to Be in Earnest: A Fragment of Autobiography","P. D. James","2001","Ballantine Books"
"Every Second Counts","Lance Armstrong","2004","Broadway"
"The Jumbo Duct Tape Book","Jim Berg","2000","Workman Publishing"
"Little Girls in Pretty Boxes: The Making and Breaking of Elite Gymnasts and Figure Skaters","Joan Ryan","2000","Warner Books"
"The Heart of a Woman","Maya Angelou","1984","Bantam Books"
"Purple, Green and Yellow","Robert Munsch","1992","Annick Press"
"Vegas Heat","Fern Michaels","1997","Kensington Publishing Corporation"
"Le Disque Monde: La Huitieme Couleur","T. Pratchett","1997","Pocket"
"The Invitation","Jude Deveraux","1994","Pocket"
"Born to Love","Leigh Greenwood","2003","Leisure Books"
"If Tomorrow Comes","Sidney Sheldon","1986","Warner Books> C/o Little Br"
"The Shadow of the Wind","Carlos Ruiz Zafon","2004","The Penguin Press HC"
"Probable Cause","Ridley Pearson","1992","St. Martin\'s Press"
"Death of an Expert Witness","P. D. James","1977","Simon &amp; Schuster"
"Die Trying","Lee Child","1998","Putnam Publishing Group"
"Clandestine","James Ellroy","1997","Harper Mass Market Paperbacks (Mm)"
"The Chimney Sweeper\'s Boy","Barbara Vine","1998","Viking Books"
"Paradise Screwed: Selected Columns of Carl Hiaasen","Carl Hiaasen","2002","Berkley Publishing Group"
"Catfish: My Life in Baseball","Jim Catfish Hunter","1989","Berkley Pub Group"
"The Twelve Days of Christmas","Modern Publisher","1995","Modern Publishing"
"The Nudist on the Late Shift","Po Bronson","2000","Broadway Books"
"Shattered Mirror","Amelia Atwater-Rhodes","2001","Delacorte Press"
"Jambalaya for the Soul: Humorous Stories and Cajun Recipes from the Bayou","Jesse Duplantis","2000","Harrison House"
"Passion Play","Jerzy Kosinski","1998","Grove Press"
"The Owl Service","Alan Garner","1997","Collins"
"Die Werbung. Roman.","Ruth Rendell","1993","Goldmann"
"Les Piliers de la terre","Ken Follett","1992","LGF"
"Mourn Not Your Dead","Deborah Crombie","1997","Berkley Publishing Group"
"Twilight Whispers","Barbara Delinsky","1987","Not Avail"
"Nap Time: The True Story of Sexual Abuse at a Suburban Day Care Center","Lisa Manshel","1989","Harpercollins"
"Living Single","Holly Chamberlin","2002","STRAPLESS"
"Goodnight, Irene","Jan Burke","1997","Harper Mass Market Paperbacks (Mm)"
"Adrian Mole: The Cappuccino Years","Sue Townsend","2000","Soho Press"
"Michelangelo and the Pope\'s Ceiling","Ross King","2003","Penguin Books"
"Charmed Circle","Carol Smith","1998","Warner Books"
"The Good Mother","Sue Miller","1986","Harpercollins"
"A Time For Us","Josephine Cox","2001","Trafalgar Square"
"The Drowning Season","Alice Hoffman","1979","Penguin USA"
"Once in a Lifetime","Constance O\'Day-Flannery","1991","Zebra Books"
"Cat Chaser","Elmore Leonard","1998","Perennial (HarperCollins)"
"You\'ll Be Mine In 99  The 100-Year Itch","Jennifer Drew","2003","Harlequin"
"El Ultimo Caton","Matilde Asensi","2001","Plaza &amp; Janes Editores, S.A."
"Superior Women","Alice Adams","1998","Pocket"
"Tales of King Arthur","Thomas Malory","1989","Schocken Books"
"Slackjaw","Jim Knipfel","1999","Putnam Publishing Group"
"We the Living","Ayn Rand","1995","Dutton Books"
"Contagion","Robin Cook","1996","Audio Renaissance"
"Timeswept Lovers","Constance O\'Day-Flannery","1998","Zebra Books"
"Fires of Winter","Roberta Gellis","1987","Berkley Pub Group"
"Daughter of the River","Ying Hong","0","Trafalgar Square"
"Evidence of Blood","Thomas H. Cook","1998","Bantam Books"
"84, Charing Cross Road. Eine Freundschaft in Briefen.","Helene Hanff","2002","Hoffmann &amp; Campe"
"Life Is Elsewhere","Milan Kundera","0","Faber Faber Inc"
"Sand Castles","Antoinette Stockenberg","2002","St. Martin\'s Paperbacks"
"An ALTOGETHER NEW BOOK OF TOP TEN LISTS LATE NIGHT DAVID LETTERMAN","David Letterman","1991","Pocket"
"Death a L\'Orange","Nancy Fairbanks","2002","Berkley Publishing Group"
"Almost Heaven","Judith McNaught","1991","Pocket"
"The Sunne in Splendour","Sharon Kay Penman","1982","Henry Holt &amp; Co"
"The Best School Year Ever","Barbara Robinson","1994","HarperCollins"
"The Great Baby Caper","Eugenia Riley","2001","Dorchester Publishing Company"
"The Little Drummer Girl","John Le Carre","1984","Smithmark Pub"
"Night of the Moonbow","Thomas Tryon","1990","Dell Publishing Company"
"Tidings of Great Joy","Sandra Brown","1997","Bantam"
"Ou Es-Tu?","Marc Levy","2003","Distribooks Inc"
"The President\'s Daughter","Jack Higgins","2003","Berkley"
"Charm School","Susan Wiggs","2001","Mira"
"High on a Hill","Dorothy Garlock","2002","Warner Books"
"Mike\'s Mystery","Gertrude Cha Warner","0","Scholastic Inc"
"Bomb the Suburbs","William Upski Wimsatt","1999","Pub Group West"
"The Day After Tomorrow","Allan Folsom","1994","Little Brown &amp; Co"
"Pyramids","Joyce Tyldesley","2003","Viking"
"Letters from Cicely","Ellis Weiner","1992","Pocket"
"Brothel: Mustang Ranch and Its Women","Alexa Albert","2002","Ballantine Books"
"In the Country of the Young","Lisa Carey","2002","Perennial"
"The Janson Directive","Robert Ludlum","2003","St. Martin\'s Press"
"Out of Sight","Elmore Leonard","1998","Dell"
"The Absence of Nectar","Kathy Hepinstall","2002","Jove Books"
"Midnight\'s Lair","Richard Laymon","1993","St Martins Pr"
"My Year of Meats","Ruth L. Ozeki","1998","Penguin USA"
"The Daughters of Cain","Colin Dexter","1996","Fawcett Books"
"The Living Blood","Tananarive Due","2002","Washington Square Press"
"The Codex","Douglas J. Preston","2003","Forge Books"
"The Cold One","Christopher Pike","1995","Tor Books"
"Midnight Predator","Amelia Atwater-Rhodes","2002","Delacorte Press"
"Resurrection Row","Anne Perry","1982","Fawcett Books"
"Fighter Wing: A Guided Tour of an Air Force Combat Wing","Tom Clancy","2004","Berkley Publishing Group"
"The Anubis Gates","Tim Powers","1997","Ace Books"
"Dorman\'s doggie","Frank Stack","1990","Kitchen Sink Press"
"The Fatal Shore: The Epic of Australia\'s Founding","Robert Hughes","1988","Vintage Books USA"
"Drink With the Devil","Jack Higgins","1996","Putnam Pub Group"
"Prayers for Rain","Dennis Lehane","1999","William Morrow &amp; Company"
"Come the Spring","Julie Garwood","1997","Atria"
"Tilting at Windmills","Joseph Pittman","2002","Pocket Star"
"Tarot Fantastic","Martin Harry Greenberg","1997","Daw Books"
"Slant","Greg Bear","1998","Tor Books"
"The Big Book of New American Humor: The Best Humor of the Past","William Novak","1990","Harpercollins"
"Berlin Game","Len Deighton","1990","Ballantine Books"
"How Can I Help: Stories and Reflections on Service","Ram Dass","1985","Alfred A. Knopf"
"Chindi","Jack McDevitt","2003","Ace Books"
"From Potter\'s Field","Patricia Cornwell","2002","Encore"
"The Classic Slave Narratives","Henry Louis Gates","1987","Mentor Books"
"Se questo e un uomo ; La tregua","Primo Levi","1989","Einaudi"
"Love, Remember Me","Bertrice Small","1994","Ballantine Books"
"Funny Money","James Swain","2002","Atria"
"Gone Away Lake","Elizabeth Enright","0","Scholastic Inc"
"Morning Is a Long Time Coming","Bette Greene","1993","Laurel-Leaf Books"
"La Nuit Des Enfants Rois","Bernard Lenteric","0","Livre De Poche French"
"The Penwyth Curse","Catherine Coulter","2004","Jove Books"
"Kurgast. Aufzeichnungen von einer Badener Kur.","Hermann Hesse","1977","Suhrkamp"
"The Center of Everything","Laura Moriarty","2003","Hyperion"
"The Mouse and the Motorcycle","Beverly Cleary","1982","Yearling Books"
"To the Lighthouse","Virginia Woolf","1989","Harvest Books"
"Indian Killer","Sherman Alexie","1998","Warner Books"
"Promise Forever","Marta Perry","2003","Steeple Hill"
"Das Halsband der Taube.","Ernst W. Heine","1996","btb"
"False Memory","Dean R. Koontz","1999","Bantam Books"
"Dead Irish","John T. Lescroart","1996","Random House Audio"
"Whispers and Lies","Joy Fielding","2003","Pocket Books"
"Pebble in the Sky","Isaac Asimov","1983","Del Rey Books"
"Adopting the Racing Greyhound","Cynthia A. Branigan","1992","John Wiley &amp; Sons"
"Wee Sing for Christmas Book","Pam Beall","1984","Price Stern Sloan"
"HTML for the World Wide Web with XHTML and CSS: Visual QuickStart Guide, Fifth Edition","Elizabeth Castro","2002","Peachpit Press"
"The White House Connection","Jack Higgins","2000","Berkley Publishing Group"
"Shore Lights","Barbara Bretton","2003","Berkley Publishing Group"
"Murphy\'s Law and Other Reasons Why Things Go Wrong","Arthur, Bloch","1977","Pss Adult"
"Honor Among Thieves","Jeffrey Archer","1993","Harpercollins"
"Childhood\'s End","Arthur C. Clarke","1987","Del Rey Books"
"My Steadfast Heart","Jo Goodman","1997","Zebra Books"
"Notes from a Small Island","Bill Bryson","1997","Perennial"
"Nicholas and Alexandra","Robert K. Massie","1995","Dell Publishing Company"
"The Northern Lights","Lucy Jago","2002","Vintage Books USA"
"The Secret Garden","Frances Hodgson Burnett","1994","Hodder Children\'s Books"
"Jai Quinze Ans Et Je Ne Veux Pas Mourir","Christine Arnothy","0","Livre De Poche French"
"The Magic of Ordinary Days","Ann Howard Creel","2001","Viking Books"
"It\'s A Magical World: A Calvin and Hobbes Collection","Bill Watterson","1996","Andrews McMeel Publishing"
"Hard Fall","Ridley Pearson","1992","Dell Publishing Company"
"Breathing Lessons","Anne Tyler","1999","Sagebrush Bound"
"The Pencil: A History of Design and Circumstance","Henry Petroski","1992","Alfred A. Knopf"
"Black Sunday","Thomas Harris","2000","Dutton Books"
"SOS Titanic","Eve Bunting","1996","Harcourt Paperbacks"
"John Le Carre: Three Complete Novels","John Le Carre","1984","Avenel Books"
"Les Soldats de Salamine","Javier Cercas","2002","Actes Sud"
"American Fuji","Sara Backer","2002","Berkley Publishing Group"
"A Vision of Light","Judith Merkle Riley","1990","Dell Publishing Company"
"The Hobbit","J. R. R. Tolkien","1938","Houghton Mifflin Company"
"The Book Lover\'s Kit","Deborah Grandinetti","2002","Running Press Book Publishers"
"Isaac Asimov\'s Caliban","Roger MacBride Allen","1993","Berkley Pub Group"
"A Child\'s Book of True Crime","Chloe Hooper","2002","Scribner"
"Limpieza de sangre","Arturo Perez-Reverte","1998","Santillana, S.A."
"The God Project","John Saul","1983","Bantam Books"
"Robert Frost\'s Poems","Robert Frost","2002","St. Martin\'s Paperbacks"
"Beyond Civilization: Humanity\'s Next Great Adventure","Daniel Quinn","1999","Random House Inc"
"Drumming at the Edge of Magic: A Journey into the Spirit of Percussion","Mickey Hart","1990","Harpercollins"
"The Clocks","Agatha Christie","2004","Berkley Publishing Group"
"Sarah\'s Secrets","Lisa Childs","2003","Harlequin"
"To Have and to Hold","Michaels","1995","Ivy Books"
"Conversations with God for Teens","Neale Donald Walsch","2002","Scholastic"
"Eine Zierde in ihrem Hause. Die Geschichte der Ottilie von Faber- Castell.","Asta Scheib","2002","Wunderlich im Rowohlt"
"In the Pond","Ha Jin","2000","Vintage Books USA"
"More George W. Bushisms: More of Slate\'s Accidental Wit and Wisdom of Our 43rd President","Jacob Weisberg","2002","Fireside"
"Pas de deux.","Philippe Djian","1996","Diogenes Verlag"
"Mars Crossing","Geoffrey A. Landis","2000","Tor Books"
"Taft","Ann Patchett","1995","Ivy Books"
"Liner Notes","Emily Franklin","2003","Downtown Press"
"The Fresco","Sheri S. Tepper","2000","Eos (HarperCollins)"
"The Curse of Chalion","Lois McMaster Bujold","2002","HarperTorch"
"Eiger Dreams: Ventures Among Men and Mountains","Jon Krakauer","1997","Random House Audio"
"White Crosses","Larry Watson","1998","Washington Square Press"
"In the Heart of the Sea: The Tragedy of the Whaleship Essex","Nathaniel Philbrick","2001","Penguin Putnam"
"Growth Fetish","Clive Hamilton","2003","Allen &amp; Unwin"
"The Black Rose","Tananarive Due","2001","One World"
"The Sands of Sakkara","Glenn Meade","2000","St. Martin\'s Press"
"Dear Emily","Fern Michaels","1995","Zebra Books"
"Secrets of the Night","Jo Beverley","1999","Topaz"
"Motherhood Is Murder","Carolyn Hart","2003","Avon"
"Interview With the Vampire 1","Anne Rice","1985","Ballantine Books"
"The Mammoth Book of Victorian and Edwardian Ghost Stories","Richard Dalby","1995","Carroll &amp; Graf Publishers"
"Girlfriends: Invisible Bonds, Enduring Ties","Carmen Renee Berry","1995","Wildcat Canyon Press"
"Dead to the World","Charlaine Harris","2004","Ace Books"
"There And Now","Linda Lael Miller","1997","Mira"
"Apaches","Lorenzo Carcaterra","1997","Ballantine Books"
"City of Bones","Michael Connelly","2002","Warner Books"
"Macroscope","Piers Anthony","1983","Harper Mass Market Paperbacks (Mm)"
"Bread Givers","Anzia Yezierska","1999","Persea Books"
"Pet Sematary","Stephen King","2001","Pocket"
"Unnatural Causes","P. D. James","1982","Warner Books"
"One Fine Day the Rabbi Bought a Cross","Harry Kemelman","1990","Fawcett Books"
